Date,Year,humidity%
1/1/2013,2013,60
2/1/2013,2013,62
3/1/2013,2013,57
4/1/2013,2013,53
5/1/2013,2013,65
6/1/2013,2013,67
7/1/2013,2013,68
8/1/2013,2013,64
9/1/2013,2013,61
10/1/2013,2013,61
11/1/2013,2013,53
12/1/2013,2013,63
1/1/2014,2014,58
2/1/2014,2014,57
3/1/2014,2014,46
4/1/2014,2014,54
5/1/2014,2014,59
6/1/2014,2014,62
7/1/2014,2014,64
8/1/2014,2014,60
9/1/2014,2014,63
10/1/2014,2014,64
11/1/2014,2014,55
12/1/2014,2014,65
1/1/2015,2015,54
2/1/2015,2015,53
3/1/2015,2015,54
4/1/2015,2015,50
5/1/2015,2015,57
6/1/2015,2015,66
7/1/2015,2015,59
8/1/2015,2015,54
9/1/2015,2015,60
10/1/2015,2015,57
11/1/2015,2015,60
12/1/2015,2015,66
1/1/2016,2016,51
2/1/2016,2016,55
3/1/2016,2016,51
4/1/2016,2016,49
5/1/2016,2016,60
6/1/2016,2016,57
7/1/2016,2016,65
8/1/2016,2016,65
9/1/2016,2016,65
10/1/2016,2016,68
11/1/2016,2016,58
12/1/2016,2016,59
1/1/2017,2017,69
2/1/2017,2017,62
3/1/2017,2017,55
4/1/2017,2017,66
5/1/2017,2017,70
6/1/2017,2017,65
7/1/2017,2017,69
8/1/2017,2017,70
9/1/2017,2017,69
10/1/2017,2017,69
11/1/2017,2017,62
12/1/2017,2017,62
1/1/2018,2018,62
2/1/2018,2018,71
3/1/2018,2018,61
4/1/2018,2018,60
5/1/2018,2018,70
6/1/2018,2018,67
7/1/2018,2018,71
8/1/2018,2018,75
9/1/2018,2018,81
10/1/2018,2018,73
11/1/2018,2018,68
12/1/2018,2018,70
